Rank,Title,Citations,Year,URL,Description
41,System and method for identifying key targets in a social network by heuristically approximating influence,24,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:AXPGKjj_ei8C,"HEURISTICALLY APPROXIMATING associated with an individual corresponding to the node. INFLUENCE In a variation on this embodiment, selecting the set of 5 nodes involves: estimating an influence level associated with STATEMENT OF GOVERNMENT-FUNDED an initial node set and performing a greedy selection process RESEARCH to identify a node that maximizes a marginal gain of influence level over the initial node set. This invention was made with US government support In a further variation, estimating the influence level asso under Contract No. W911NF-11-C-0216 (3729) awarded by 10 ciated with the initial node set involves: calculating a the Army Research Office. The US government has certain weighted sum of aggregated centrality measures associated rights in this invention. with nodes within the initial node set, calculating an out reach ability of the initial node set, and calculating a"
42,Method for calculating semantic similarities between messages and conversations based on enhanced entity extraction,23,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:7PzlFSSx8tAC,"One embodiment of the present invention provides a system for estimating a similarity level between documents. During operation, the system receives a number of documents, extracts a number of semantic entities from the documents, calculates the similarity level between the documents based on the extracted semantic entities, and produces a result indi cating similar documents based on the calculated similarity level."
43,System for implementing threat detection using daily network traffic community outliers,22,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:uLbwQdceFCQC,"(57) ABSTRACT A method and system for identifying insider threats within an organization is provided. The approach constructs an internal connectivity graph to identify communities of hosts/users, and checks for abnormal behavior relative to past behaviors."
44,System and method for flexibly taking actions upon activation of defined triggers,22,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:u_35RYKgDlwC,"(57) ABSTRACT A computer-implemented system and method for flexibly taking actions upon activation of rule-based triggers are provided. A collection of documents is stored in a storage device within a computing environment. An activity of a user performed on a document from the collection is observed. At least one of an application, operation, key word, time, place, project, topic, different document from the collection, and different user is identified. A connection associated with the user is determined to at least one of the application, operation, key word, time, place, project, topic, different document from the collection, and different user based on the observed activity. A rule based on the connec tion and the observed activity is defined. The rule and a corresponding action are stored as a trigger. Rule satisfac tion by at least one of a further activity, event, and stimuli activates the trigger, which causes performance …"
45,The routineness of routines: measuring rhythms of media interaction,21,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:35N4QoGY0k4C,"The routines of information work are commonplace yet difficult to characterize. Although cognitive models have successfully characterized routine tasks within which there is little variation, a large body of ethnomethodological research has identified the inherent nonroutineness of routines in information work. We argue that work does not fall into discrete classes of routine versus nonroutine; rather, task performance lies on a continuum of routineness, and routineness metrics are important to the understanding of workplace multitasking. In a study of 10 information workers shadowed for 3 whole working days each, we utilize the construct of working sphere to model projects/tasks as a network of humans and artifacts. Employing a statistical technique called T-pattern analysis, we derive measures of routineness from these real-world data. In terms of routineness, we show that information workers experience …"
46,Activity duration analysis for context-aware services using foursquare check-ins,21,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:2P1L_qKh6hAC,"Location-based Social Networks (LBSN) such as Foursquare are becoming an increasingly popular social media, where users share their location and activities with other users mainly using smartphones and Internet of Things. Data logged by LBSNs, such as Foursquare user check-in events, can be used to derive user models and improve the context-awareness and efficiency of various applications like recommender systems. In particular, activity duration is one important aspect of user behavior that we can derive from LBSNs to improve the timing of recommendation sent to users. These durations are not otherwise directly available from LBSNs, partial GPS-enabled tracking or explicit recording due to various practical constraints. From a Four-square dataset with about 3.7 million users and 300 million check-ins, we observed patterns which inspired us to design methods to determine the duration of user …"
47,From documents to tasks: deriving user tasks from document usage patterns,21,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:Se3iqnhoufwC,"A typical knowledge worker is involved in multiple tasks and switches frequently between them every work day. These frequent switches become expensive because each task switch requires some recovery time as well as the reconstitution of task context. First task management support systems have been proposed in recent years in order to assist the user during these switches. However, these systems still need a fairly big amount of investment from the user side in order to either learn to use or train such a system. In order to reduce the necessary amount of training, this paper proposes a new approach for automatically estimating a user's tasks from document interactions in an unsupervised manner. While most previous approaches to task detection look at the content of documents or window titles, which might raise confidentiality and privacy issues, our approach only requires document identifiers and the …"
48,System and method for determining an appropriate time for providing a message to a driver,20,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:ye4kPcJQO24C,"(57) ABSTRACT A computer-implemented system and method for determin ing an appropriate time for providing a message to a driver are provided. A message is received for a driver of a motor vehicle. Movement of the motor vehicle is monitored, and a familiarity of the movement to the driver is determined. Data sensed by the motor vehicle is obtained, and a cognitive load of the driver is calculated based on the familiarity of the movement and the sensed data. The message is provided to the driver when the calculated cognitive load is low. 20 Claims, 8 Drawing Sheets"
49,System and method for detecting quitting intention based on electronic-communication dynamics,20,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:4fKUyHm3Qg0C,"(57) ABSTRACT A quitting-intention estimating system facilitates detecting an entity's intention to quit an organization. During opera tion, the system obtains recent electronic-communication information associated with the entity under investigation, such as an employee of a corporation, or a volunteer of a non-profit organization. The system can determine the enti ty's quitting intention by determining a plurality of recent communication features from the electronic-communication information, for example, by using a variety of feature extracting modules that extract the features from the entity's electronic communications. The system then computes a quitting-intention value for the entity under investigation, using a quitting-intention estimating function that takes the recent communication features as input. The quitting-inten tion estimating function detects a change in the entity's behavior from previous communication …"
50,Method for calculating entity similarities,20,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:HDshCWvjkbEC,"One embodiment of the present invention provides a system for estimating a similarity level between semantic entities. During operation, the system selects two or more semantic entities associated with a number documents. The system Subsequently parses the documents into Sub-parts, and calcu lates the similarity level between the semantic entities based on occurrences of the semantic entities within the Sub-parts of the documents."
