Rank,Title,Citations,Year,URL,Description
11,Understanding email writers: Personality prediction from email messages,97,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:cFHS6HbyZ2cC,"Email is a ubiquitous communication tool and constitutes a significant portion of social interactions. In this paper, we attempt to infer the personality of users based on the content of their emails. Such inference can enable valuable applications such as better personalization, recommendation, and targeted advertising. Considering the private and sensitive nature of email content, we propose a privacy-preserving approach for collecting email and personality data. We then frame personality prediction based on the well-known Big Five personality model and train predictors based on extracted email features. We report prediction performance of 3 generative models with different assumptions. Our results show that personality prediction is feasible, and our email feature set can predict personality with reasonable accuracies."
12,Identifying activities using a hybrid user-activity model,96,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:M3NEmzRMIkIC,"In a user-activity identification technique, a user's actions are monitored while the user is using a computer. While these user actions are associated with user activities, the user activi ties are initially unspecified, so the tracked user actions con stitute unsupervised data. Then, the tracked user actions are aggregated into Subsets (for example, using clustering analy sis), and user-activity classifications for the Subsets (such as activity labels) are provided by the user, so the subsets con stitute Supervised data. Subsequently, when additional user actions (which are associated with one or more initially unspecified current user activities) are tracked, they can be associated with one or more of the classified subsets. For example, information about the additional user actions can be mapped in real time (or near real time) to one or more of the Subsets using a Supervised learning technique. In this way, the one or more …"
13,CoScribe: integrating paper and digital documents for collaborative knowledge work,92,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:Tyk-4Ss8FVUC,"This paper presents CoScribe, a concept and prototype system for the combined work with printed and digital documents, which supports a large variety of knowledge work settings. It integrates novel pen-and-paper-based interaction techniques that enable users to collaboratively annotate, link and tag both printed and digital documents. CoScribe provides for a very seamless integration of paper with the digital world, as the same digital pen and the same interactions can be used on paper and displays. As our second contribution, we present empirical results of three field studies on learning at universities. These motivated the design of CoScribe and were abstracted to a generic framework for the design of intuitive pen-and-paper user interfaces. The resulting interaction design comprising collaboration support and multiuser visualizations has been implemented and evaluated in user studies. The results indicate …"
14,Method and apparatus for automatically managing user activities using contextual information,89,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:eJXPG6dFmWUC,"BACKGROUND0001 1. Field 0002 This disclosure is generally related to calendar sys tems. More specifically, this disclosure is related to a calendar system that automatically updates a user's schedule. 0003 2. Related Art 0004 Advances in portable computing technologies have made it easier for people to manage their schedules while on the go. People oftentimes carry a portable device with them at all times, such as a Smartphone, tablet computer, or laptop computer, which allows them to receive and respond to urgent phone calls or messages that require their Sudden attention. These portable devices also include applications that allow users to manually manage their tasks and calendar events, and to share these tasks and events with others. As a user progresses through his day, these applications can remind the user of the tasks and calendar events that the user has pending, and allow the user to …"
15,Generating a relationship visualization for nonhomogeneous entities,87,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:yD5IFk8b50cC,"(57) ABSTRACT A relationship visualization system displays contextual information for a relationship between two entities of a document management system, such as for a user and a document. The system can receive a request for a relation ship visualization from a user, such that the request indicates the user and a document. Then, the system determines, from a multipartite graph, a set of relationship paths coupling entity nodes that correspond to the user and the document. A relationship path can include one or more entity nodes indicating contextual information for the relationship between the user and the document. Then, the system selects a first group of entity nodes from the set of relationship paths to represent the relationship between the user and the document. The system then provides a relationship visual ization that displays contextual information from the first group of entity nodes to illustrate the …"
16,Detecting individual activities from video in a smart home,71,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:zYLM7Y9cAGgC,"This paper addresses the detection of activities of individuals in a smart home environment. Our system is based on a robust video tracker that creates and tracks targets using a wide-angle camera. The system uses target position, size and orientation as input for interpretation. Interpretation produces activity labels such as “walking”, “standing”, “sitting”, “interacting with table”, or “sleeping” for each target. Bayesian Classifier and Support Vector Machines (SVMs) are compared for learning and recognizing previously defined individual activities. These methods are evaluated on recorded data sets. A novel Hybrid Classifier is then proposed. This classifier combines generative Bayesian methods and discriminative SVMs. Bayesian methods are used to detect previously unseen activities, while the SVMs are shown to provide high discriminative power for recognizing examples of learned activity classes. The evaluation …"
17,Learning situation models for providing context-aware services,68,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:qjMakFHDy7sC,"In order to provide information and communication services without disrupting human activity, information services must implicitly conform to the current context of human activity. However, the variability of human environments and human preferences make it impossible to preprogram the appropriate behaviors for a context aware service. One approach to overcoming this obstacle is to have services adapt behavior to individual preferences though feedback from users. This article describes a method for learning situation models to drive context-aware services. With this approach an initial simplified situation model is adapted to accommodate user preferences by a supervised learning algorithm using feedback from users. To bootstrap this process, the initial situation model is acquired by applying an automatic segmentation process to sample observation of human activities. This model is subsequently adapted to …"
18,System for implementing threat detection using threat and risk assessment of asset-actor interactions,59,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:7T2F9Uy0os0C,"Disclosed is an approach to detect insider threats, by tracking unusual access activity for a specific user or computer with regard to accessing key assets over time. In this way, malicious activity and the different preparation phases of attacks can be identified."
19,Temporal task footprinting: identifying routine tasks by their temporal patterns,58,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:UebtZRa9Y70C,"This paper introduces a new representation for describing routine tasks, called temporal task footprints. Routines are characterized by their temporal regularity or rhythm. Temporal pattern analysis (T-patterns) can be used to isolate frequent recurrent patterns in routine tasks that appear repeatedly in the same temporal configuration. Using tf-idf statistics, each task can then be defined in terms of its temporal task footprint, a ranked list of temporal patterns along with their typical frequencies. Experimental evaluations using data of 29 days observing and logging 10 subjects showed that temporal task footprints of application windows, email and document usage outperform decision tree and SVMs in recognizing the subjects' tasks."
20,Real-time local offer targeting and delivery system,57,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:t6usbXjVLHcC,"0010. One embodiment of the present invention provides a system for delivering an offer to a mobile device associated with a potential customer. During operation, the system ini tially receives data indicating that a potential customer is at or entering a targeted area or is on a vehicle associated with one or more businesses providing offers. The system determines, with the received data, whether the potential customer has a moment of receptivity, wherein the moment of receptivity is a period of time during which the potential customer is likely to be receptive to receiving an offer. Responsive to determin ing that the potential customer has a moment of receptivity for receiving an offer, the system selects an offer from one or more available offers, and sends the selected offer to the potential customer."
