Rank,Title,Citations,Year,URL,Description
11,The Master's Degree in HCI at 20: Issues and Trends,6,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:Zph67rFs4hoC,"Over the past 20 years, professional HCI programs at the Master's level have emerged and evolved at a number of universities, providing academic training to future HCI practitioners. Demand for these programs by students and demand for graduates by industry has increased considerably. In this SIG, representatives from such programs, current students, alumni, and representatives from hiring companies will discuss emerging trends, tools and technologies that will influence the future structure of these programs. Industry attendees will identify how current programs meet their needs and identify where gaps exist. Attendees will also consider ways to build a community of support for those involved in delivering HCI education at the Master's level."
12,The NCR human interface technology center,6,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:kNdYIx-mwKoC,"The NCR Human Interface Technology Center (HITC) exists to meet its customers' business needs through the application of new human-interface technologies. The HITC designs and develops these user-interface solutions through a user-centered design (UCD) process, in which user needs and expectations guide all design and development decisions. The HITC consists of about 90 engineers and scientists with expertise in such areas as cognitive engineering, graphic design, image understanding, artificial intelligence, intelligent tutoring, database mining, and new I/O technologies. Established in 1988, the HITC is funded by work performed for its customers."
13,Evolution of a user interface design: NCR's management Discovery Tool (MDT),5,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:KlAtU1dfN6UC,"IMany companies are developing large data warehouses to understand their customers and business trends betteu however, tools to analyze these data typicrdly require signiilcant expertise. Because of this, NCR has developed the Management Discovery Tool (MDT) for the typical manager who wants answers to business questions without having to know SQL or database table and column names. We provide an overview of the user-centered design process used to design one part of the MDT (the “Folders View” dialog) and give rationale for design decisions."
14,Evaluation of a model of human performance in monitoring and controlling a large scale system,5,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:UebtZRa9Y70C,Description not available
15,Human problem solving in complex hierarchical large scale systems,5,1985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:Se3iqnhoufwC,Description not available
16,"Human Problem Solving in Dynamic Environments. Understanding and Supporting Operators in Large-Scale, Complex Systems",4,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:2osOgNQ5qMEC,"This research note seeks an empirical understanding of the relationship between the physical characteristics of a large-scale system and human performance, and formalizing these empirical results into several measures of large scale complexity. Behavioral computer models of the human operator in a large-scale environment were then constructed, and the models were found consistent with human behavior. This approach showed subtle performance improvement for aided subjects. Keywords Man-machine, Computer models, Human performance, Communication networks."
17,A model of human performance in a large scale dynamic system,4,1985,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:roLk4NBRz8UC,Description not available
18,Assessing the complexity of a large scale system: Measures of system structure and human strategy,4,1984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:WF5omc3nYNoC,Description not available
19,Characterizing the development of human expertise in simulated fault diagnosis tasks,4,1981,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:UeHWp8X0CEIC,Description not available
20,Marketing Usability,3,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:Y0pCki6q_DkC,"Publisher SummaryThis chapter considers marketing usability services from several perspectives, including that of the internal group (IG), lone consultant (LC), and external group (EG). Successful marketing requires the usability organization to initially identify its target market(s) based on an assessment of its own strengths and weaknesses, the needs of the marketplace, and its competition. In response to this assessment, the usability organization can develop a marketing strategy comprised of the services it offers (product), the amount it charges (price), and the tactics it uses to communicate with its target market (promotion), among other factors. A usability organization will be more or less successful depending on the decisions it makes about its marketing strategy. This approach should be applied to any organization that markets its professional services. However, usability engineers face a different set of …"
21,Evolutionary Design of a Customer Activated Terminal: A Case Study,2,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:u5HHmVD_uO8C,"The process of designing a customer activated terminal (CAT) is described. A CAT is a self-service computer system that enables people to order food or merchandise, request information, complete banking transactions, etc. The specific application that this paper considers is a quick service restaurant lunch menu. Designers of CATs must assume that many users of such systems have no prior computer experience. One of the goals of this paper is to identify some specific interface design principles that seem to be appropriate for other CAT applications. A second goal is to illustrate how an iterative design process that focuses on user, task, and environmental characteristics can result in a successful product. The paper describes a four phase iterative development approach: data collection, initial design, testing and redesign, and implementation. Activities in each phase emphasize understanding user, task, and …"
22,A model-based aid for monitoring and controlling a large-scale system,1,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:LkGwnXOMwfcC,"Approaches to aiding human performance in monitoring and controlling a large-scale system are considered. One particular approach that is based on a model of human performance is described in detail. The model includes a rule-based representation of procedural knowledge, a frame-based representation of declarative knowledge, and a fuzzy prioritization mechanism to handle rule of conflicts. The online aiding approach is implemented in a simulated large-scale system that requires human monitoring and control. Results from an experimental evaluation of the aid are inconclusive in that they do not demonstrate the benefit of a direct advice-giving system; however, the aiding approach was found helpful in some tasks.<>"
23,Model-Based Interface Design for Transaction-Processing Tasks,1,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:0EnyYjriUFMC,"Characteristics of transaction-processing tasks are described in the context of retail point-of-sale systems (cash registers). Proliferation of functionality coupled with a lack of emphasis on interface design have led to systems that require extensive training and result in high error rates. A state-action representation of a transaction-processing task is described. This approach to task modeling is appropriate given the deterministic nature of transaction-processing tasks. To illustrate this approach, a task model for a particular retail point-of-sale system and an interface design based on this model are described. A preliminary analysis of subjects using the new interface suggests that the model-based design will result in significant reductions in training time and error rates."
24,The Security Dilemma: Balancing Robustness and Usability,0,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:_FxGoFyzp5QC,Description not available
25,On Managing Human Factors Professionals in the Software Industry,0,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:Tyk-4Ss8FVUC,"In this paper, the author outlines aspects of managing groups of human factors professionals in the software consulting industry. The observations are based on the author's experience in managing HF groups. Because of the HF professional's academic training and research orientation, the appropriate management model is closer to an academic model than to a corporate model."
26,"HUMAN PROBLEM SOLVING IN COMPLEX HIERARCHICAL LARGE SCALE SYSTEMS (MAN-MACHINE SYSTEMS, SUPERVISORY CONTROL, COMPLEXITY)",0,1986,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:ufrVoPGSRksC,"Humans supervising highly automated, hierarchical, large scale dynamic systems, such as a communications network, must often take control action during unforeseen failure or emergency situations. These unexpected events combine with the system size and structure to produce possibly complex tasks for humans. This thesis explores human performance in monitoring and controlling these complex systems.Two experiments used versions of a computer simulated communication network. Subjects monitored and controlled the system via a video display and keyboard. Subjects were told to optimize system performance (eg, maximize number of customers served and minimize customer processing time) by diagnosing failed components and managing network resources (eg, by shedding load)."
27,Human Problem Solving in Complex Dynamic Environments,0,1982,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=of5e53cAAAAJ&pagesize=50&citation_for_view=of5e53cAAAAJ:M3ejUd6NZC8C,"This research note summarizes three years of a four year contract to study ways of improving human performance in highly integrated systems in such areas as communications, transportation, manufacturing, etc. Rule-based computer models of human performance CAIN are discussed, as are methods form measuring the complexity of the task of monitoring these large-scale systems. Finally, the development of a computer model MABEL which requires subjects to monitor a large-scale communications network is described. Keywords Man machine systems CAINContextually Augmented Integrated Network MABELMonitoring Accessing Browsing and Evaluating Limits."
