Rank,Title,Citations,Year,URL,Description
32,Fruit are heavy: A prototype public IoT system to support urban foraging,86,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:rO6llkc54NcC,"Smart cities are one area of interactive systems design where the technologies and services of the Internet of Things (IoT) have the potential to serve public interest. In this paper we present a design research project that explores the use of IoT technologies-specifically environmental sensing-to support urban foraging. We describe the design of a simple proof-of-concept sensing platform to monitor the relative ripeness of fruit in trees, and reflect upon its potential effectiveness for urban foraging. From the project, we draw out themes for designing in the context of smart cities, including questioning the presumed ""smartness"" of IoT systems, and highlight issues in designing to support diverse community economies."
33,The Hug: a new form for communication,85,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:7PzlFSSx8tAC,"Recent advances in telecommunication and wireless networking technology have exploded the possibilities for remote communication between people.We present a product called the Hug as a challenge to familiar telecommunication products. A visionary design born out of research with elders, the Hug addresses a very human need for physical closeness in remote communications. It uses the same network infrastructure as many appliances today, but places a new face on human product interaction."
34,Object-oriented publics,82,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:eJXPG6dFmWUC,"Social computing-or computing in a social context-has largely concerned itself with understanding social interaction among and between people. This paper asserts that ignoring material components-including computing itself-as social actors is a mistake. Computing has its own agenda and agencies, and including it as a member of the social milieu provides a means of producing design objects that attend to how technology use can extend beyond merely amplifying or augmenting human actions. In this paper, we offer examples of projects that utilize the capacity of object-oriented publics to both analyze the conditions and consequences around existing publics and engage with matters of concern inherent to emerging publics. Considering how computing as an actor contributes to the construction of publics provides insight into the design of computational systems that address issues. We end by introducing the …"
35,Spaces and traces: Implications of smart technology in public housing,77,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:kRWSkSYxWN8C,"Smart home technologies are beginning to become more widespread and common, even as their deployment and implementation remain complex and spread across different competing commercial ecosystems. Looking beyond the middle-class, single-family home often at the center of the smart home narrative, we report on a series of participatory design workshops held with residents and building managers to better understand the role of smart home technologies in the context of public housing in the U.S. The design workshops enabled us to gather insight into the specific challenges and opportunities of deploying smart home technologies in a setting where issues of privacy, data collection and ownership, and autonomy collide with diverse living arrangements, where income, age, and the consequences of monitoring and data aggregation setup an expanding collection of design implications in the ecosystems …"
36,Grassroots resource mobilization through counter-data action,76,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:M05iB0D1s5AC,"In this paper, we document the counter-data action and data activism of a grassroots affordable housing advocacy group in Atlanta. Our observation and insight into these data activities and strategies are achieved through ethnographic and engaged research and participatory design. We find that counter-data action through community-collected data is rooted in a legacy of Atlanta’s black activism and black scholarship; that this data activism enabled resource mobilization and critical conscious making; and that design and media production are essential post counter-data action activities in data activism. Based on these findings, we urge the field of open government data to broaden their concept of social impact of data to include the use data to mobilize resources within oppressed communities not to influence policy and government but to build capacities within community in order to transform, not join, political …"
37,Robot Diaries: Broadening Participation in the Computer Science Pipeline through Social Technical Exploration.,74,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:O3NaXMp0MMsC,"In this paper we describe the results of a series of new robotics workshops for secondary school girls. Specifically we show that, over the course of a three-month pilot workshop, a group of eight girls showed engagement with the workshop content and gained technical knowledge. The Robot Diaries program is unique in that it creates a social narrative approach to robotics education. The robotic technology becomes a tool for expression and communication rather than the sole focus of the workshop."
38,Designing for democracy in education: Participatory design and the learning sciences,62,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:XiSMed-E-HIC,"Within the learning sciences the concept of design is important in developing learning environments and conducting research. We propose the field of learning sciences seek better understandings of design from the field of design. In this paper we focus on Participatory Design (PD), where goals for real world impact and democratic process resonate with goals of the learning science. Our reflection on applying PD in the learning sciences suggest a more democratic and effective methods for objectives such as: defining research and learning goals, practices that consider multiple participants in design, practices for establishing participatory living labs for design research, developing infrastructure for sustainable participation, and using PD as a way to seek transferable rather than generalizable outcomes. Finally, we reflect on how PD might help us answer some of the issues with interest driven learning that motivated our work."
39,The SenseChair: The lounge chair as an intelligent assistive device for elders,62,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:fQNAKQ3IYiAC,"The elder population is rising. In the United States, the number of those needing assistance far exceeds the number of care facilities available to help the aging population. This creates a great incentive to help elders remain independently in their homes.Our group is exploring how robotic technology, designed in forms as familiar as home appliances, might be used to assist elders and those who provide care. We have designed the SenseChair, an intelligent assistive lounge chair that brings assistive technology to elders in a comfortable and familiar fashion. The SenseChair takes information about a sitter’s behavior and the environment and provides information ranging from ambient displays to explicit notification. It serves as a research platform to understand how we can help elders stay independently in their homes, and offer them physical, social, and emotional support."
40,Speculative visualization: a new rhetoric for communicating public concerns,60,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:hC7cP41nSMkC,"Speculative design is an emerging rhetorical strategy in design practices and research to raise public awareness in social agendas that have been little explored. As a stream of this type of research, we propose speculative visualization that aims to achieve speculative design by utilizing techniques from data visualization and graphic design. Specifically, speculative visualization represents socially and politically meaningful data in aesthetic ways to provoke viewers’ interpretation and further elicit discussions. In this paper, we report the diverse approaches of speculative visualization by demonstrating three exemplary studies and identifying their visual rhetoric. Based on the argument, we discuss research opportunities that speculative visualization can broaden its design sphere: the aesthetic adaptation of data visualization techniques, the methodologies of assessment, and the public’s engagement in design activities."
41,"HCI, politics and the city: engaging with urban grassroots movements for reflection and action",58,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:f2IySw72cVMC,"Grassroots initiatives enable communities of stakeholders to transform urban landscapes and impact broader political and cultural trajectories. In this two-day workshop, we present opportunities to engage HCI research with activist communities in Vancouver, the city hosting CHI'11. Working directly with local activist organizations, we explore the processes, materials, challenges, and goals of grassroots communities. Our bottom-up approach, including explorations of urban spaces and activist headquarters, participatory design sessions, reflection, critique and creative design of political artifacts will bring together a diverse group of HCI researchers, activists and artists. The workshop will result in concrete strategies for bottom-up activism and serve to inform the design of future interactive systems in the domain of political computing."
42,Socially distributed perception: Grace plays social tag at aaai 2005,58,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:_FxGoFyzp5QC,"This paper presents a robot search task (social tag) that uses social interaction, in the form of asking for help, as an integral component of task completion. Socially distributed perception is defined as a robot's ability to augment its limited sensory capacities through social interaction. We describe the task of social tag and its implementation on the robot GRACE for the AAAI 2005 Mobile Robot Competition & Exhibition. We then discuss our observations and analyses of GRACE's performance as a situated interaction with conference participants. Our results suggest we were successful in promoting a form of social interaction that allowed people to help the robot achieve its goal. Furthermore, we found that different social uses of the physical space had an effect on the nature of the interaction. Finally, we discuss the implications of this design approach for effective and compelling human-robot interaction, considering …"
43,Care and the practice of data science for social good,57,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:qxL8FJ1GzNcC,"Data science is an interdisciplinary field that extracts insights from data through a multi-stage process of data collection, analysis and use. When data science is applied for social good, a variety of stakeholders are introduced to the process with an intention to inform policies or programs to improve well-being. Our goal in this paper is to propose an orientation to care in the practice of data science for social good. When applied to data science, a logic of care can improve the data science process and reveal outcomes of ""good"" throughout. Consideration of care in practice has its origins in Science and Technology Studies (STS) and has recently been applied by Human Computer Interaction (HCI) researchers to understand technology repair and use in under-served environments as well as care in remote health monitoring. We bring care to the practice of data science through a detailed examination of our engaged …"
44,"Local issues, local uses: tools for robotics and sensing in community contexts",57,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:vRqMK49ujn8C,"This paper describes six creativity support tools we developed to foster community engagement and expression with robotics and sensing, assessing the benefits and shortcomings of each tool. From the descriptions of these tools and their uses, we highlight two issues. The first is the challenge of, and a general strategy for, enabling informed speculation with unfamiliar technologies. The second issue is that in enabling such speculation, the research process is opened to significant shifts in trajectory. These shifts concomitantly serve as markers of technological fluency and challenge the research project, reinforcing the value of a community co-design approach."
45,"Provocation, conflict, and appropriation: the role of the designer in making publics",56,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:p2g8aNsByqUC,"The role and embodiment of the designer/artist in making publics is significant. This special issue draws attention to reflexive practices in Art & Design, and questions how these practices are embedded in the formations and operations of publics, grounded in six cases of participatory design conducted in the United States, India, Turkey, England, Denmark, and Belgium. From these design practices, typologies of participation are formulated that describe the role of the designer. These typologies describe different and sometimes conflicting epistemologies—providing designers with a vocabulary to communicate a diversity of participatory settings and supporting reflexive practices."
46,Toward a public rhetoric through participatory design: critical engagements and creative expression in the neighborhood networks project,53,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:Wp0gIr-vW9MC,"Introduction In her paper,"" P for Political,"" Beck poses the question:"" What con stitutes political action through computing?"" 1 Certainly, the his tory and range of contemporary projects in Participatory Design provide a rich and varied set of answers to that question. To those answers, we would like to propose two others: prompting critical engagements with technology and enabling people to use technol ogy to produce creative expressions about issues of concern. By critical engagements we mean experiences that bring about the reflective analysis and interpretation of issues, building from traditions in education and in the arts and design. 2 In particular, we are interested in facilitating encounters that reveal and/or call into question common assumptions and beliefs about both tech nology and the urban environment, and the possible relations between these subjects. The goal of these critical engagements is to …"
47,More-than-human urban futures: speculative participatory design to avoid ecocidal smart cities,51,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:vV6vV6tmYwMC,"We propose a collective participatory speculative urban walk exploring ""more-than-human"" perspectives for smart cities. The walk will be a curated selection of outcomes from a PDC workshop interrogating how ""more-than-human"" approaches and their resultant ethical, legal, and methodological concerns can shape participatory design practices toward cohabitation. Our aim with the Situated Action is to use the walk as an embodied approach to push forward a cultural change in the agenda of sustainable smart cities, urban informatics and IoT. The walk will draw from the specificity of urban infrastructures in Hasselt associated with ""more-than-human"" approaches and include a selection of provisional artefacts in the form of low-fi prototypes, manifestos or future scenarios from the workshop to scaffold participation within the urban environment for conference delegates and citizens."
48,Addressing network anxieties with alternative design metaphors,49,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:RYcK_YlVTxYC,"Optimism and positivity permeate discourses of smart interactive network technologies. Yet we do not have to look too far or too deep to find anxieties knotting up on the horizon and festering below the network's glistening surface. This paper contributes a set of concepts, tactics, and novel design forms for addressing network anxieties generated through a design-led inquiry, or research through design approach. We present three technically grounded metaphors illustrated with examples selected from our exploratory design process. Weaving together concepts from surveillance studies, cultural studies, and other areas of the humanities with our visual and physical design work, we help draw attention to under-addressed concerns within HCI while proposing alternative ways of framing and engaging design issues arising with network technologies."
49,Constructing and constraining participation in participatory arts and HCI,48,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:tS2w5q8j5-wC,"Social practice art may suggest new understandings of and strategies for participation in HCI—but not in a straightforward way. Based on participant-observation at a major arts festival, we describe how a set of artists, concerned with environmental issues and community engagement, frame and enact participation, and describe how the nature of this participation deviated from both artists’ and our ideas of what participation would be. We delineate how the disciplinary context of art both enables and limits the kinds of participation that can be achieved. We characterize 3 strategies these artists use to achieve participation: participation in spectacle, participation in making, and participation in inquiry. We develop the implications of this work to inform HCI through three case studies related to sustainability – spectacle computing, heirloom computing, and citizen science – to demonstrate the potential for similar strategies …"
50,"HCI, communities and politics",46,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:e5wmG9Sq2KIC,"Working with communities around social change presents a challenge to common HCI methods, as politics often comes to the fore. In some cases, the politics of a community are explicit, for example, when working with activists or advocacy groups. In other cases, political aspects are less explicit but surface in considering the allocation of resources or in groups wherein issues of race, gender or class are of major importance. To address these dynamics, HCI researchers have to go beyond traditional HCI tools and metrics, which too often bracket out the political in an effort to focus on the instrumental issues and uses of technology. This panel juxtaposes several community-based HCI research projects in which politics have been a significant factor and asks ""How do we address the"
