Rank,Title,Citations,Year,URL,Description
11,Participatory design for learning,255,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:TFP_iSt0sucC,"The goal of the learning sciences is to not only understand the phenomena of learning, but also to impact educational practices and enable more effective learning. Our goal is to develop and draw attention to design practices that are relevant to participatory design of learning environments and learning technologies and that directly involve learners, teachers, and other community members in all the different steps of designing. Learner-centered and design-based approaches in the learning sciences are, like participatory design (PD), founded on the principle that target populations are best served when designs address the needs of community members. PD focuses on giving such stakeholders a high degree of agency throughout the design process, emphasizing the cultivation of knowledge communities in which content and expertise are co-created by experts and other participants working in concert. Learning …"
12,Making public things: how HCI design can express matters of concern,250,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:9yKSN-GCB0IC,"Science studies scholar Bruno Latour suggests that contemporary democracy is shifting from ""matters of fact""to ""matters of concern"": contentious conditions entwined with everyday life. What is the role of human-computer interaction (HCI) design in this shift' In this paper we draw from five design projects to explore how design can express matters of concern by communicating the factors and consequences of issues. In the process, we consider the role of design in contributing to the formation of publics and discuss an emerging orientation to publics in HCI design."
13,"Design, democracy and agonistic pluralism",227,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:YOwf2qJgpHMC,"In this paper, the author presents an alternative approach to ‘design for democracy,’drawing on the notion of agonistic pluralism. Specifically, the author highlights the differences between politics and the political within agonistic pluralism, and employing examples of contemporary design projects, discusses how these differences can been seen in the objects and practices of design. Through this critical examination, the author contributes a new perspective to the discourses of ‘design for democracy’and expands the possibilities for democratic action and critique available to both practicing designers and design scholars."
14,The hug: an exploration of robotic form for intimate communication,218,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:blknAaTinKkC,"As advances in robotics create robust technology capable of being deployed in the home, design serves an important role shaping how robots will be experienced in accessible, appropriate, and compelling manners. The designer's task of shaping technology is fundamentally concerned with the creation of form. Form is the total expression of a product, including physical shape, materials, and behavioral qualities. In creating form, design balances the needs of people, the capabilities of technology, and the context of use to support an activity or action. In this paper we present The Hug, a conceptual design exploration of form for a robotic product that facilitates intimate communication across distance. We discuss the role of form in constructing meaningful relationships through The Hug and other robotic products."
15,Expanding and refining design and criticality in HCI,189,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:sSrBHYA8nusC,"The term 'critical design' is on the upswing in HCI. We analyze how discourses around 'critical design' are diverging in Design and HCI. We argue that this divergence undermines HCI's ability to learn from and appropriate the design approaches signaled by this term. Instead, we articulate two ways to broaden and deepen connections between Design and HCI: (1) develop a broader collective understanding of what these design approaches can be, without forcing them to be about 'criticality' or 'critical design,' narrowly construed; and (2) shape a variation of design criticism to better meet Design practices, terms, and ways of knowing."
16,The Neighborhood Networks project: a case study of critical engagement and creative expression through participatory design,173,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:70eg2SAEIzsC,"In this paper we examine the Neighborhood Networks project: a community-based participatory design project. The goal of the Neighborhood Networks project is to facilitate and investigate the use of participatory design to prompt critical engagements between people, technology, and the urban environment, and to enable the production of creative expressions of local issues by residents, using robotics and sensing technologies. We describe the activities and outcomes of the first workshop, and discuss how participants used the technology in a rhetorical sense, that is, to discover, invent, and deliver arguments about how we could or should live in the world."
17,Issue-oriented hackathons as material participation,170,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:4OULZ7Gr8RgC,"In recent years, intensive design and development events known as hackathons have become increasingly common. Issue-oriented hackathons are a subset of this trend that bring together ad hoc groups under the auspices of conceiving and prototyping technologies to address social conditions and concerns. In this article, we present ethnographic accounts of a set of issue-oriented hackathons that took place in the United States between 2012 and 2013, in order to explore how these events structure and express emerging forms of participation. Specifically, we propose that issue-oriented hackathons are sites of experimental material participation."
18,"Data, design and civics: An exploratory study of civic tech",162,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:d1gkVwhDpl0C,"Civic technology, or civic tech, encompasses a rich body of work, inside and outside HCI, around how we shape technology for, and in turn how technology shapes, how we govern, organize, serve, and identify matters of concern for communities. This study builds on previous work by investigating how civic leaders in a large US city conceptualize civic tech, in particular, how they approach the intersection of data, design and civics. We encountered a range of overlapping voices, from providers, to connectors, to volunteers of civic services and resources. Through this account, we identified different conceptions and expectation of data, design and civics, as well as several shared issues around pressing problems and strategic aspirations. Reflecting on this set of issues produced guiding questions, in particular about the current and possible roles for design, to advance civic tech."
19,Design as democratic inquiry: Putting experimental civics into practice,161,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:AvfA0Oy_GE0C,"Through practices of collaborative imagination and making, or"" doing design otherwise,” design experiments can contribute to keeping local democracies vibrant. In this counterpoint to the grand narratives of design punditry, Carl DiSalvo presents what he calls “doing design otherwise.” Arguing that democracy requires constant renewal and care, he shows how designers can supply novel contributions to local democracy by drawing together theory and practice, making and reflection. The relentless pursuit of innovation, uncritical embrace of the new and novel, and treatment of all things as design problems, says DiSalvo, can lead to cultural imperialism. In Design as Democratic Inquiry, he recounts a series of projects that exemplify engaged design in practice. These experiments in practice-based research are grounded in collaborations with communities and institutions. The projects DiSalvo describes took place from 2014 to 2019 in Atlanta. Rather than presume that government, industry—or academia—should determine the outcome, the designers began with the recognition that the residents and local organizations were already creative and resourceful. DiSalvo uses the projects to show how design might work as a mode of inquiry. Resisting heroic stories of design and innovation, he argues for embracing design as fragile, contingent, partial, and compromised. In particular, he explores how design might be leveraged to facilitate a more diverse civic imagination. A fundamental tenet of design is that the world is made, and therefore it could be made differently. A key concept is that democracy requires constant renewal and care. Thus …"
20,Nonanthropocentrism and the nonhuman in design: possibilities for designing new forms of engagement with and through technology,160,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:5nxA0vEk-isC,"Over the past several decades, scholarship in science and technology studies and in philosophy has increasingly drawn attention to the ways a variety of things other than humans exert influence in the construction and maintenance of action and experience. These nonhumans include animals, the built environment, and objects of all kinds, including all manner of technical objects such as software, hardware, protocols, and networks. Although there are substantially different perspectives and methods within this work, it shares a common feature: a shift away from an anthropocentric perspective that privileges the individual human actor. This shift has resulted in what we can characterize as a nonanthropocentric perspective, which considers the human a single factor in a larger system of relations and interactions between humans and nonhumans alike. What is important in these relations and interactions is not a categorical quality of any one factor (eg, whether it is alive or not), but rather how the capabilities and limitations of all of the factors work in concert or against one another in a given scenario—establishing, delegating, and reconfiguring capacities for action and experience.While nonanthropocentric perspectives, and the nonhumans that populate them, seem to be moving toward a more prominent role in the humanities and social sciences, human-centeredness continues to reign in design. On the surface, these two perspectives seem to confound one another. By definition, nonanthropocentric perspectives decenter the human. We can certainly imagine that a shift away from an anthropocentric perspective has implications for design and …"
21,More-than-human participation: Design for sustainable smart city futures,142,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YR1EmaAAAAAJ&pagesize=50&citation_for_view=YR1EmaAAAAAJ:V3AGJWp-ZtQC,"In this forum we highlight innovative thought, design, and research in the area of interaction design and sustainability, illustrating the diversity of approaches across HCI communities. --- Roy Bendor, Editor"
