name,google_scholar_url
Melody Moore Jackson,https://scholar.google.com/citations?user=83SAwBsAAAAJ&hl=en
Alexandra Boldyreva,https://scholar.google.com/citations?user=8mHLyRoAAAAJ&hl=en
Xiuwei Zhang,https://scholar.google.com/citations?user=8n-iVhwAAAAJ&hl=en
Peter Swire,https://scholar.google.com/citations?user=8ThYcf8AAAAJ&hl=en
Glen Chou,https://scholar.google.com/citations?user=90whi3wAAAAJ&hl=en
Alex Duncan,https://scholar.google.com/citations?user=9ZIsgScAAAAJ&hl=en
Milos Prvulovic,https://scholar.google.com/citations?user=A_j_baAAAAAJ&hl=en
Peng Chen,https://scholar.google.com/citations?user=AaVPa5kAAAAJ&hl=en
Shaowen Bardzell,https://scholar.google.com/citations?user=aD5ev8QAAAAJ&hl=en
Alexander Adams,https://scholar.google.com/citations?user=assJWZYAAAAJ&hl=en
Bo Zhu,https://scholar.google.com/citations?user=atNjbs0AAAAJ&hl=en
Yalong Yang,https://scholar.google.com/citations?user=B2Qy_xAAAAAJ&hl=en
Suguman Bansal,https://scholar.google.com/citations?user=bd9Rk1MAAAAJ&hl=en
Wei ""Coco"" Xu,https://scholar.google.com/citations?user=BfOdG-oAAAAJ&hl=en
Sahil Singla,https://scholar.google.com/citations?user=BHZT068AAAAJ&hl=en
Ryan Shandler,https://scholar.google.com/citations?user=BlL6XAsAAAAJ&hl=en
Vassilis Zikas,https://scholar.google.com/citations?user=bsFxGUIAAAAJ&hl=en
Kuldeep S. Meel,https://scholar.google.com/citations?user=bvW5Hs8AAAAJ&hl=en
Betsy DiSalvo,https://scholar.google.com/citations?user=BXEDBDUAAAAJ&hl=en
B. Aditya Prakash,https://scholar.google.com/citations?user=C-NftTgAAAAJ&hl=en
Surya R. Kalidindi,https://scholar.google.com/citations?user=C2k6mYwAAAAJ&hl=en
Kexin Rong,https://scholar.google.com/citations?user=C8LDYK0AAAAJ&hl=en
Richard Vuduc,https://scholar.google.com/citations?user=CCGI7x4AAAAJ&hl=en
Chao Zhang,https://scholar.google.com/citations?user=CeEO6SIAAAAJ&hl=en
Mark Borodovsky,https://scholar.google.com/citations?user=ciQ3dn0AAAAJ&hl=en
KwangHo Park,https://scholar.google.com/citations?user=CpVsPWEAAAAJ&hl=en
Aibek Musaev,https://scholar.google.com/citations?user=cQPdjdgAAAAJ&hl=en
Kim  Luong MacLeod,https://scholar.google.com/citations?user=cRvSNzIAAAAJ&hl=en
Harish Ravichandar,https://scholar.google.com/citations?user=d2HP6SMAAAAJ&hl=en
Clio Andris,https://scholar.google.com/citations?user=D9jCEIkAAAAJ&hl=en
merrick furst,https://scholar.google.com/citations?user=DDDRx9EAAAAJ&hl=en
Yingyan (Celine) Lin,https://scholar.google.com/citations?user=dio8IesAAAAJ&hl=en
Russell Clark,https://scholar.google.com/citations?user=dJy9rgYAAAAJ&hl=en
Brian Hrolenok,https://scholar.google.com/citations?user=DKiiFh4AAAAJ&hl=en
Spencer H. Bryngelson,https://scholar.google.com/citations?user=dM-nHdMAAAAJ&hl=en
Tamara Pearson,https://scholar.google.com/citations?user=dYtRH80AAAAJ&hl=en
Mahender Mandala,https://scholar.google.com/citations?user=E2Idm8UAAAAJ&hl=en
Elizabeth M. Cherry,https://scholar.google.com/citations?user=E6h84HUAAAAJ&hl=en
Josiah Hester,https://scholar.google.com/citations?user=EMYV8cEAAAAJ&hl=en
Qi Tang,https://scholar.google.com/citations?user=EtoOcLMAAAAJ&hl=en
Moinuddin Qureshi,https://scholar.google.com/citations?user=EWU0STsAAAAJ&hl=en
Sonia Chernova,https://scholar.google.com/citations?user=EYo_WkEAAAAJ&hl=en
Abrahim Ladha,https://scholar.google.com/citations?user=f_7ev68AAAAJ&hl=en
Kristine Nagel,https://scholar.google.com/citations?user=F0HhkJIAAAAJ&hl=en
Jacob Abernethy,https://scholar.google.com/citations?user=FDu4ciwAAAAJ&hl=en
Cindy Xiong Bearfield,https://scholar.google.com/citations?user=fFc3ezYAAAAJ&hl=en
Tom Conte,https://scholar.google.com/citations?user=FzBDS4gAAAAJ&hl=en
Haesun Park,https://scholar.google.com/citations?user=G6kA1CMAAAAJ&hl=en
Ashutosh Dhekne,https://scholar.google.com/citations?user=gGB3lA4AAAAJ&hl=en
James Foley,https://scholar.google.com/citations?user=GmcChLIAAAAJ&hl=en
HyunJoo Oh,https://scholar.google.com/citations?user=h0wla9sAAAAJ&hl=en
Divya Mahajan,https://scholar.google.com/citations?user=HmBa_6gAAAAJ&hl=en
Santosh S. Vempala,https://scholar.google.com/citations?user=hRggMmIAAAAJ&hl=en
Rodrigo Borela,https://scholar.google.com/citations?user=hvEtgbYAAAAJ&hl=en
Felix J. Herrmann,https://scholar.google.com/citations?user=hw23CTQAAAAJ&hl=en
Teodora Baluta,https://scholar.google.com/citations?user=HXcs2NIAAAAJ&hl=en
Amy Bruckman,https://scholar.google.com/citations?user=IdWa_JkAAAAJ&hl=en
Matthew Gombolay,https://scholar.google.com/citations?user=Ihyz20wAAAAJ&hl=en
Annie I. Antón,https://scholar.google.com/citations?user=IQosWycAAAAJ&hl=en
Umakishore Ramachandran,https://scholar.google.com/citations?user=J1tqbNAAAAAJ&hl=en
Danfei Xu,https://scholar.google.com/citations?user=J5D4kcoAAAAJ&hl=en
Edmond Chow,https://scholar.google.com/citations?user=jGqGKGMAAAAJ&hl=en
Elizabeth Qian,https://scholar.google.com/citations?user=jnHI7wQAAAAJ&hl=en
Paul Pearce,https://scholar.google.com/citations?user=JvY2c4YAAAAJ&hl=en
Saman Zonouz,https://scholar.google.com/citations?user=kgFnNewAAAAJ&hl=en
Bobbie Lynn Eicher,https://scholar.google.com/citations?user=kiR4luIAAAAJ&hl=en
Richard DeMillo,https://scholar.google.com/citations?user=kK3b1SAAAAAJ&hl=en
Thomas Ploetz,https://scholar.google.com/citations?user=kM95eWgAAAAJ&hl=en
Sashank Varma,https://scholar.google.com/citations?user=kq16N1AAAAAJ&hl=en
Srijan Kumar,https://scholar.google.com/citations?user=kqfLNK8AAAAJ&hl=en
J. Sukarno Mertoguno,https://scholar.google.com/citations?user=KY-eoQkAAAAJ&hl=en
Agata Rozga,https://scholar.google.com/citations?user=LAuxzv0AAAAJ&hl=en
Jon R. Lindsay,https://scholar.google.com/citations?user=Lde9BAgAAAAJ&hl=en
Michael A. Specter,https://scholar.google.com/citations?user=lHmMK_4AAAAJ&hl=en
Raphael Pestourie,https://scholar.google.com/citations?user=Lxv3W74AAAAJ&hl=en
KARTIK GOYAL,https://scholar.google.com/citations?user=Lz6-_iIAAAAJ&hl=en
Jun Xu,https://scholar.google.com/citations?user=mHwonDEAAAAJ&hl=en
Alexandros Daglis,https://scholar.google.com/citations?user=Mm-dHpMAAAAJ&hl=en
Judy Hoffman,https://scholar.google.com/citations?user=mqpjAt4AAAAJ&hl=en
Francisco Romero,https://scholar.google.com/citations?user=mSw8KfIAAAAJ&hl=en
Judith Odili Uchidiuno,https://scholar.google.com/citations?user=n6zdTxUAAAAJ&hl=en
Yunan Luo,https://scholar.google.com/citations?user=N8RBFoAAAAAJ&hl=en
Wenke Lee,https://scholar.google.com/citations?user=nfkH5V4AAAAJ&hl=en
Zachary S. Bischof,https://scholar.google.com/citations?user=NLeeizQAAAAJ&hl=en
Carrie Bruce,https://scholar.google.com/citations?user=Ntekq2MAAAAJ&hl=en
Ahmed Saeed,https://scholar.google.com/citations?user=nuiUbpsAAAAJ&hl=en
Richard Henneman,https://scholar.google.com/citations?user=of5e53cAAAAJ&hl=en
Ümit V. Çatalyürek,https://scholar.google.com/citations?user=OLDMURQAAAAJ&hl=en
Ada Gavrilovska,https://scholar.google.com/citations?user=OlRjTCIAAAAJ&hl=en
Mostafa Ammar,https://scholar.google.com/citations?user=OT79Y9UAAAAJ&hl=en
Alberto Dainotti,https://scholar.google.com/citations?user=oZNdAREAAAAJ&hl=en
Cecilia Testart,https://scholar.google.com/citations?user=p2fibvQAAAAJ&hl=en
David Sherrill,https://scholar.google.com/citations?user=PN-rzYUAAAAJ&hl=en
Rebecca E. Grinter,https://scholar.google.com/citations?user=PNalJ58AAAAJ&hl=en
Anqi Wu,https://scholar.google.com/citations?user=ptGYJiEAAAAJ&hl=en
Jennifer G. Kim,https://scholar.google.com/citations?user=puNJcv0AAAAJ&hl=en
Greg Turk,https://scholar.google.com/citations?user=Q_4d9N0AAAAJ&hl=en
Christopher J. MacLellan,https://scholar.google.com/citations?user=q_K8iFQAAAAJ&hl=en
Stephen Mussmann,https://scholar.google.com/citations?user=Q_Pud88AAAAJ&hl=en
Richard Fujimoto,https://scholar.google.com/citations?user=q1bkP7AAAAAJ&hl=en
