Rank,Title,Citations,Year,URL,Description
1,Examining Student Interest and Motivations in Graduate Computer Science Research,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HLpBtQAAAAJ&pagesize=50&citation_for_view=2HLpBtQAAAAJ:eQOLeE2rZwMC,"The research focuses in academia are typically determined from the top down, with professors focusing on projects that align with their existing lab or can be readily supported by grants. This approach is pragmatic, but this focus may not align with the bottom-up interests of the available student body. As part of a broader effort to expand the available research opportunities in a graduate program in computer science, this work focuses on collecting data on what is motivating student interest in research and what specific fields students desire to study with the intention of using the results for decision-making about how to allocate resources to best match student interests. This work reports on the responses of 143 graduate students in computer science at a major research institution in the United States in a course-based program where access to research opportunities is not guaranteed. It examines both the fields of …"
2,Broadening CS Research Opportunities for Online Graduate Students,2,2025,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HLpBtQAAAAJ&pagesize=50&citation_for_view=2HLpBtQAAAAJ:YsMSGLbcyi4C,"Research opportunities offer students at the master's level a chance to apply their knowledge, create projects for their portfolio, and to gain an understanding of the research process in preparation for potential doctoral studies. The traditional structure of these opportunities, however, is not trivial to translate to online programs with asynchronous delivery. As online programs grow, it is important to examine ways that the traditional benefits of these opportunities can be extended to a broader range of students. In this poster, we discuss our experience building the infrastructure and running early efforts at reaching this goal. We discuss several dedicated courses and seminars developed to offer larger scale opportunities for students to pursue research. We also discuss efforts in active development to provide better infrastructure support to reduce the friction and complexity of pursuing research at scale."
3,Computer Programming Training for Under-Served Groups,0,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HLpBtQAAAAJ&pagesize=50&citation_for_view=2HLpBtQAAAAJ:IjCSPb-OGe4C,"This Lightning Talk describes a current effort to create an online learning system to address the unique learning needs of under-served groups. To ensure success in the most challenging scenarios, our first project iteration targets United Sates migrant farm workers and their families. Our goal is to teach migrant farm worker parents and children computer programming. Central to our project is the introduction of a new learning delivery model, the LMS/Support Model. The primary components of the model are: 1) a learning management system, featuring an open source course on the Go Programming Language hosted on a corporate cloud service), 2) live tutoring support provided by bilingual volunteers, and 3) a solar-powered, mobile wi-fi network on school buses. We have created the first course iteration and have made initial contact with a few non-governmental organizations (NGOs). We seek to form an …"
4,Computer Programming Training for Under-Served Groups: the LMS/Support Model,0,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2HLpBtQAAAAJ&pagesize=50&citation_for_view=2HLpBtQAAAAJ:zYLM7Y9cAGgC,"A model is introduced for delivering free computer programming training to under-served groups, the LMS/Support Model. While online training has been available to various under-served communities for years, it has historically lacked certain equity features–ease of Internet access and live support in an online “office hours format.” The proposed model consists of three primary components: the Extended Wi-Fi Network (EWN), the Live Tutoring Support (LTS) component and the Customized Learning Management System (CLMS). At the time of this paper, two components of the model are fully realized–the LTS and the CLMS. Thus, training is currently available to any learners not requiring the EWN component. The model is especially accommodating to itinerant workers, such as migrant farm workers. Efforts are under way to target this group with training and concomitant empirical research (Figure 1)."
